Hours_Studied,Attendance,Sleep_Hours,Previous_Scores
17.3,100.0,8.4,84.0
18.2,100.0,7.4,66.7
17.1,100.0,6.2,92.1
9.3,100.0,5.9,61.3
18.8,100.0,8.1,51.3
26.0,100.0,7.4,53.2
20.6,99.9,8.4,98.1
20.0,99.9,6.1,52.2
14.2,99.9,9.8,88.9
23.2,99.9,4.7,63.0
9.8,99.9,7.4,70.0
26.2,99.9,6.3,95.2
19.7,99.9,6.0,55.7
14.6,99.9,7.4,91.5
8.7,99.9,8.9,63.9
25.5,99.9,7.4,96.8
27.2,99.9,7.2,53.0
26.0,99.9,8.3,70.7
27.2,99.9,8.7,66.0
23.5,99.9,7.4,59.3
32.9,99.9,9.6,93.0
15.3,99.9,7.2,52.2
12.1,99.9,7.6,95.1
12.7,99.8,8.2,88.4
16.8,99.8,7.5,62.2
14.4,99.8,8.2,50.6
26.2,99.8,4.4,74.8
4.8,99.8,7.1,87.5
16.3,99.8,8.7,58.7
16.1,99.8,8.6,83.4
18.8,99.8,7.3,67.5
16.1,99.8,8.2,61.8
17.2,99.8,8.7,94.5
31.8,99.8,8.2,57.9
21.7,99.8,6.7,53.0
19.4,99.8,6.7,96.2
16.7,99.8,6.2,71.1
23.5,99.8,6.8,69.4
13.9,99.8,7.3,54.1
29.9,99.8,7.1,96.5
22.0,99.7,6.9,60.1
30.7,99.7,6.1,54.3
14.0,99.7,6.1,89.3
21.9,99.7,4.9,85.9
8.3,99.7,6.7,72.3
11.9,99.7,8.2,88.2
28.2,99.7,8.5,67.7
14.9,99.7,7.7,54.0
19.9,99.7,5.9,66.5
20.2,99.7,7.5,50.7
10.7,99.7,5.2,90.2
22.4,99.7,6.7,55.3
24.6,99.7,6.5,51.7
21.7,99.7,6.3,64.7
15.5,99.7,6.1,83.6
11.5,99.7,7.2,55.2
17.3,99.7,6.3,61.6
4.9,99.7,6.6,52.5
18.4,99.7,8.5,85.5
29.9,99.6,8.1,72.3
20.4,99.6,5.7,91.3
22.5,99.6,9.0,98.4
30.4,99.6,7.8,55.1
13.5,99.6,10.0,68.1
17.4,99.6,7.8,96.8
19.5,99.6,8.0,73.1
26.5,99.6,5.9,88.2
24.1,99.6,6.1,83.6
15.4,99.6,8.2,99.5
24.0,99.6,9.4,83.5
23.3,99.6,9.5,93.1
19.7,99.6,9.2,79.5
11.3,99.6,9.5,93.9
16.5,99.6,5.5,80.6
21.3,99.6,7.5,85.2
29.3,99.6,4.0,72.6
29.7,99.5,7.0,75.1
30.1,99.5,7.8,52.1
23.3,99.5,8.4,96.9
19.8,99.5,5.6,88.0
31.3,99.5,5.5,66.4
27.5,99.5,7.5,95.6
26.6,99.5,8.2,80.7
27.1,99.5,10.0,59.7
25.0,99.5,6.4,84.9
13.5,99.5,8.0,98.2
18.7,99.5,8.9,61.5
30.5,99.5,4.0,96.3
23.7,99.5,6.1,82.2
30.5,99.5,4.9,69.2
27.9,99.4,6.7,78.2
11.4,99.4,5.4,89.8
23.5,99.4,5.7,76.1
21.0,99.4,8.2,52.2
22.2,99.4,8.3,61.8
29.0,99.4,4.7,54.1
27.3,99.4,6.1,78.6
30.7,99.4,6.9,72.2
25.1,99.4,9.7,81.6
28.5,99.4,6.3,60.2
27.0,99.4,8.6,60.7
8.7,99.4,8.1,92.3
21.7,99.4,8.4,69.7
23.0,99.4,8.8,73.8
19.6,99.4,4.7,69.6
19.3,99.4,5.5,66.9
14.7,99.4,5.4,99.2
16.9,99.4,6.9,58.7
24.1,99.4,7.6,73.0
21.3,99.4,4.9,91.5
22.6,99.4,8.7,62.1
2.9,99.3,7.8,67.8
11.9,99.3,7.7,54.6
8.0,99.3,8.6,81.1
15.4,99.3,6.6,85.7
21.6,99.3,5.3,95.6
19.6,99.3,6.4,82.0
13.4,99.3,8.3,94.8
19.4,99.3,6.0,93.3
13.4,99.3,7.8,62.7
7.5,99.3,8.7,57.6
20.2,99.3,8.9,54.8
19.4,99.3,8.8,76.0
18.3,99.3,7.4,53.3
23.5,99.3,6.1,96.2
22.0,99.3,7.2,69.2
12.2,99.3,5.9,86.8
21.9,99.3,5.6,98.2
25.6,99.3,7.7,87.1
20.9,99.3,6.0,92.1
13.1,99.2,6.5,77.3
13.0,99.2,5.0,66.5
19.1,99.2,6.1,52.9
20.0,99.2,6.6,96.7
17.0,99.2,8.1,75.4
17.0,99.2,5.3,91.9
26.7,99.2,7.3,94.3
12.1,99.2,9.0,67.7
19.3,99.2,8.8,87.7
13.1,99.2,8.3,74.5
25.9,99.2,7.8,71.9
27.4,99.2,8.5,53.8
22.2,99.2,6.2,78.4
19.6,99.1,7.9,78.0
22.9,99.1,7.7,89.3
8.6,99.1,8.3,66.2
12.7,99.1,8.1,90.5
19.3,99.1,7.0,93.0
18.9,99.1,7.4,55.4
20.1,99.1,6.9,82.1
12.0,99.1,7.8,71.1
23.1,99.1,8.5,60.7
16.2,99.1,6.9,88.8
13.0,99.1,6.9,61.7
23.2,99.1,7.4,63.5
25.2,99.1,4.7,94.1
25.7,99.1,7.4,65.0
23.0,99.1,4.6,90.9
27.4,99.0,7.2,55.1
22.3,99.0,5.7,70.9
13.4,99.0,6.3,95.4
16.3,99.0,7.2,64.6
18.9,99.0,4.5,54.3
20.9,99.0,5.7,81.9
14.2,99.0,8.6,77.0
15.2,99.0,7.5,89.3
15.2,99.0,8.3,77.9
19.7,99.0,5.6,60.3
21.4,99.0,6.6,90.1
17.1,99.0,7.8,64.3
21.0,99.0,5.4,58.4
25.0,99.0,8.9,88.4
17.2,99.0,9.7,89.6
13.5,98.9,8.5,75.9
25.2,98.9,8.7,59.6
35.3,98.9,6.9,60.0
27.1,98.9,7.6,67.1
15.6,98.9,5.8,68.3
21.1,98.9,8.8,99.6
13.2,98.9,9.3,66.3
